6,Länskod,Länsnamn,Kommunkod ,Kommunnamn,Tätortskod,Beteckning på tätort,Del av tätort i annan kommun: 1=Ja,Befolkning 2020-12-31,"Andel av total befolkning i kommun 2020-12-31",Landareal i hektar,Andel av total landareal kommun 
72,01,Stockholm,0127,Botkyrka,0127TB101,Norra Riksten,,2870,0.030259259649751704,58,0.00299716964698922
73,01,Stockholm,0127,Botkyrka,0127TB102,Sibble,,343,0.0036163505435069113,95,0.004894794562341463
74,01,Stockholm,0127,Botkyrka,0127TB115,Kagghamra tomtområde,,286,0.003015382668929961,86,0.004428255292481836
75,01,Stockholm,0127,Botkyrka,0127TC103,Tumba,1,29234,0.30822271658565903,1219,0.06282641566609667
76,01,Stockholm,0128,Salem,0127TC103,Tumba,1,16780,0.9894451323780883,939,0.17352792764817765
77,01,Stockholm,0136,Haninge,0136TB101,Dalarö,,1915,0.020439748105454156,606,0.013297790347620063
78,01,Stockholm,0136,Haninge,0136TB102,Jordbro,,11607,0.12388728786423311,490,0.010760324190676114
79,01,Stockholm,0136,Haninge,0136TB103,Muskö,,258,0.0027537624079410823,67,0.0014821381126059758
80,01,Stockholm,0136,Haninge,0136TB104,Norra Muskö,,229,0.0024442309744903403,466,0.010229111725452395
81,01,Stockholm,0136,Haninge,0136TB105,Väländan,,557,0.005945138221795283,162,0.003565526524392252
82,01,Stockholm,0136,Haninge,0136TB106,Västerhaninge,,19381,0.2068630590244423,1129,0.024796063336195218
83,01,Stockholm,0136,Haninge,0136TB107,Gansta och Söderby,,433,0.004621624506350731,199,0.004368603305585504
84,01,Stockholm,0136,Haninge,0136TB108,Årsta Havsbad,,561,0.005987832212616074,172,0.003780716759147232
85,01,Stockholm,0139,Upplands-Bro,0139TB101,Bro,,9485,0.31412485510846166,497,0.02112865147886621
86,01,Stockholm,0139,Upplands-Bro,0139TB102,Brunna,,4033,0.133565159794668,354,0.015064864416900236
87,01,Stockholm,0139,Upplands-Bro,0139TB103,Håbo-Tibble kyrkby,,664,0.021990395760887564,159,0.006764684007760356
88,01,Stockholm,0139,Upplands-Bro,0139TB106,Rättarboda,,589,0.019506540818016227,70,0.0029580256567721427
89,01,Stockholm,0139,Upplands-Bro,0139TB114,Jursta,,474,0.015697963238946847,10,0.0004446352186690523
90,01,Stockholm,0139,Upplands-Bro,0139TB120,Smidö,,204,0.006756085444610035,67,0.002829461301283264
91,01,Stockholm,0139,Upplands-Bro,0139TC104,Kungsängen,,12497,0.4138764696141745,464,0.01971759275983485
92,01,Stockholm,0140,Nykvarn,0140TB101,Finkarby,,220,0.019604348600962395,66,0.004310679878725716
93,01,Stockholm,0140,Nykvarn,0140TB103,Nygårds hagar,,234,0.020851898057387276,26,0.0016995101477809281
94,01,Stockholm,0140,Nykvarn,0140TB104,Stensättra tomtområde,,416,0.03707004099091071,115,0.007558421705188739
95,01,Stockholm,0140,Nykvarn,0140TB105,Turinge och Vidbynäs,,305,0.027178756014970593,61,0.003966473384958085
96,01,Stockholm,0140,Nykvarn,0140TB117,Rimsjöhöjden,,200,0.017822135091783996,11,0.00072923728064229
97,01,Stockholm,0140,Nykvarn,0140TC102,Nykvarn,,7862,0.7005881304580289,645,0.04224014220713171
98,01,Stockholm,0160,Täby,0160TB101,Arninge,,1978,0.02718713490481754,163,0.026908273055312976
99,01,Stockholm,0162,Danderyd,0162TB101,Tranholmen,,427,0.01305331376864759,38,0.014464408283687084
100,01,Stockholm,0114,Upplands Väsby,0163TC103,Upplands Väsby och Sollentuna,1,45682,0.9681671753136657,1564,0.20852460065516418
101,01,Stockholm,0163,Sollentuna,0163TC103,Upplands Väsby och Sollentuna,1,69579,0.9403838356534667,2537,0.48216233887184634
102,01,Stockholm,0180,Stockholm,0163TC103,Upplands Väsby och Sollentuna,1,34433,0.035295950698630826,533,0.02847820257656901
103,01,Stockholm,0184,Solna,0163TC103,Upplands Väsby och Sollentuna,1,7,8.417305981097136e-05,69,0.03571309225444563
104,01,Stockholm,0123,Järfälla,0180TC101,Stockholm,1,81113,0.9980190466815956,2476,0.4603679225113174
105,01,Stockholm,0126,Huddinge,0180TC101,Stockholm,1,110630,0.9770033735450483,4609,0.35222922975933657
106,01,Stockholm,0127,Botkyrka,0180TC101,Stockholm,1,60185,0.634548272480943,1871,0.0964443303782634
107,01,Stockholm,0136,Haninge,0180TC101,Stockholm,1,55350,0.590778097982709,2282,0.050118464420051335
108,01,Stockholm,0138,Tyresö,0180TC101,Stockholm,1,48639,0.999198816713916,3670,0.53162000944443
109,01,Stockholm,0160,Täby,0180TC101,Stockholm,1,62193,0.8548278468833758,2367,0.38993425713862023
110,01,Stockholm,0162,Danderyd,0180TC101,Stockholm,1,32273,0.9865798483736855,1966,0.7457062787496351
111,01,Stockholm,0163,Sollentuna,0180TC101,Stockholm,1,4339,0.0586430598729558,156,0.02963446574446814
112,01,Stockholm,0180,Stockholm,0180TC101,Stockholm,1,940846,0.9644252325096279,16577,0.8854971577403368
113,01,Stockholm,0182,Nacka,0180TC101,Stockholm,1,85889,0.806431622928501,4016,0.4230005098536594
114,01,Stockholm,0183,Sundbyberg,0180TC101,Stockholm,1,52799,0.999962121929509,665,0.765186864792072
115,01,Stockholm,0184,Solna,0180TC101,Stockholm,1,83151,0.9998677280488685,1586,0.8228646149535328
116,01,Stockholm,0181,Södertälje,0181TB101,Ekeby,,1000,0.009988912307338853,64,0.0012224776918875531
117,01,Stockholm,0181,Södertälje,0181TB102,Hölö,,1602,0.016002237516356845,168,0.0032130971969201653
118,01,Stockholm,0181,Södertälje,0181TB103,Järna,,6153,0.06146177742705597,392,0.007487468564063281
119,01,Stockholm,0181,Södertälje,0181TB104,Mölnbo,,1131,0.011297459819600245,150,0.002854224657835406
120,01,Stockholm,0181,Södertälje,0181TB105,Pershagen,,2190,0.02187571795307209,106,0.0020158884829109495
121,01,Stockholm,0181,Södertälje,0181TB106,"Aska, Tuna och Sandviken*",,877,0.008760276093536174,262,0.005006906459553032
122,01,Stockholm,0181,Södertälje,0181TB107,Nibble,,249,0.002487239164527375,48,0.000911736630113385
123,01,Stockholm,0181,Södertälje,0181TB110,Vattubrinken,,396,0.003955609273706186,94,0.0018014542687034521
124,01,Stockholm,0128,Salem,0181TB111,Viksäter och Viksberg,1,0,0,2,0.0003185280477909442
125,01,Stockholm,0181,Södertälje,0181TB111,Viksäter och Viksberg,1,936,0.009349621919669168,153,0.002928709077938986
126,01,Stockholm,0181,Södertälje,0181TB113,Kallfors,,1539,0.015372936040994496,146,0.002778843294932731
127,01,Stockholm,0128,Salem,0181TC108,Södertälje,1,0,0,2,0.00039440467410812484
128,01,Stockholm,0181,Södertälje,0181TC108,Södertälje,1,76320,0.7623537872961014,2795,0.053330882961941765
129,01,Stockholm,0182,Nacka,0182TB102,Fisksätra,,7943,0.07457865827895405,103,0.010832810136396387
130,01,Stockholm,0182,Nacka,0182TB103,Hästhagen,,499,0.0046852260457255525,37,0.0039091975914681675
131,01,Stockholm,0182,Nacka,0182TB104,Kil,,1017,0.009548847471949673,94,0.009850225220480105
132,01,Stockholm,0182,Nacka,0182TB106,Saltsjöbaden,,9517,0.08935730716867753,526,0.05544342520531091
133,01,Stockholm,0182,Nacka,0182TB108,Älgö,,1053,0.009886859771841698,201,0.021126586972185585
134,01,Stockholm,0186,Lidingö,0186TB103,Sticklinge udde,,3064,0.06382668472034163,132,0.042853372520014206
135,01,Stockholm,0186,Lidingö,0186TB107,Storholmen,,231,0.0048119987501301946,36,0.011586669577428993
136,01,Stockholm,0186,Lidingö,0186TC102,Lidingö,,44091,0.9184668263722529,1676,0.5460123099179881
137,01,Stockholm,0187,Vaxholm,0187TB102,Rindö,,1390,0.11694430422345617,186,0.03222998662101732
138,01,Stockholm,0187,Vaxholm,0187TB103,Resarö,,3212,0.27023388860844694,350,0.060692167134902136
139,01,Stockholm,0187,Vaxholm,0187TB105,Tynningö,,353,0.029698805317179874,459,0.07969691658698853
140,01,Stockholm,0187,Vaxholm,0187TB106,Skarpö,,257,0.021622076392394413,103,0.017927663259161827
141,01,Stockholm,0187,Vaxholm,0187TC104,Vaxholm,,6151,0.5174995793370352,230,0.039890538751329654
142,01,Stockholm,0188,Norrtälje,0188TB101,Bergshamra,,658,0.01033405053947513,261,0.0012968839729171617
143,01,Stockholm,0188,Norrtälje,0188TB102,Blidö,,280,0.004397468314670268,533,0.0026454529411963205
144,01,Stockholm,0188,Norrtälje,0188TB103,Edsbro,,591,0.00928179919275046,151,0.0007500204953462165
145,01,Stockholm,0188,Norrtälje,0188TB104,Finsta,,248,0.0038949005072793806,44,0.0002179305397332806
146,01,Stockholm,0188,Norrtälje,0188TB105,Grisslehamn,,410,0.00643915003219575,456,0.002264452891372283
147,01,Stockholm,0188,Norrtälje,0188TB106,Hallstavik,,4741,0.07445856171375623,494,0.0024506528636216835
148,01,Stockholm,0188,Norrtälje,0188TB107,Herräng,,350,0.005496835393337836,188,0.0009308757974079194
149,01,Stockholm,0188,Norrtälje,0188TB108,"Nabbo, Gräddö och Rävsnäs",,579,0.009093336264978876,584,0.0028969154553569673
150,01,Stockholm,0188,Norrtälje,0188TB110,Riala,,361,0.0056695930771284535,130,0.0006458912339270333
151,01,Stockholm,0188,Norrtälje,0188TB111,Rimbo,,5223,0.08202848931258147,347,0.001722060674561891
152,01,Stockholm,0188,Norrtälje,0188TB112,Rånäs,,423,0.006643318203948298,49,0.00024492137230883203
153,01,Stockholm,0188,Norrtälje,0188TB113,Skebobruk,,231,0.0036279113596029713,95,0.00046898959828922915
154,01,Stockholm,0188,Norrtälje,0188TB114,Spillersboda,,493,0.007742685282615866,406,0.002012717436765654
155,01,Stockholm,0188,Norrtälje,0188TB115,Nysättra,,268,0.004209005386898686,139,0.0006901572117118647
156,01,Stockholm,0188,Norrtälje,0188TB116,Svanberga,,563,0.008842052361283433,95,0.000469460048367032
157,01,Stockholm,0188,Norrtälje,0188TB117,Söderby-Karl,,302,0.004742983682251504,86,0.0004286058261569846
158,01,Stockholm,0188,Norrtälje,0188TB118,Södersvik,,438,0.006878896863662777,291,0.0014427284595896286
159,01,Stockholm,0188,Norrtälje,0188TB119,Sättra,,376,0.005905171736842932,177,0.0008783422053865939
160,01,Stockholm,0188,Norrtälje,0188TB120,Älmsta,,1532,0.024060433778838753,251,0.0012468366202310604
161,01,Stockholm,0188,Norrtälje,0188TB122,Hästängen och Mora,,743,0.011668996277857176,244,0.0012100492106661555
162,01,Stockholm,0188,Norrtälje,0188TB138,Oxhalsö,,224,0.0035179746517362146,350,0.0017371517999479529
163,01,Stockholm,0188,Norrtälje,0188TB147,"Hattudden, Björnösund och Björknäs*",,343,0.0053868986854710785,394,0.0019551071524490497
164,01,Stockholm,0188,Norrtälje,0188TB172,Malstaby,,219,0.0034394484318313887,57,0.00028192812674123597
165,01,Stockholm,0188,Norrtälje,0188TB187,Husby*,,211,0.0033138064799836664,50,0.0002486571826313007
166,01,Stockholm,0188,Norrtälje,0188TB189,"Grovstanäs, Hysingsvik och Solö",,213,0.003345216967945597,179,0.000890277146706383
167,01,Stockholm,0188,Norrtälje,0188TB223,Tranvik och Ekebyholmshöjden*,,235,0.0036907323355268324,39,0.0001936884655764532
168,01,Stockholm,0188,Norrtälje,0188TC109,Norrtälje,,22018,0.34579806197289276,1092,0.005420597257216496
169,01,Stockholm,0191,Sigtuna,0191TB101,Granby,,299,0.00603589236328401,52,0.0015740785954340866
170,01,Stockholm,0191,Sigtuna,0191TB103,Rosersberg,,1829,0.03692189676403496,314,0.009598190578851185
171,01,Stockholm,0191,Sigtuna,0191TB104,Sigtuna,,9689,0.19559117427377515,561,0.01710679393571684
172,01,Stockholm,0191,Sigtuna,0191TB105,Ölsta och Steningehöjden,,1482,0.029917031713668572,47,0.0014285021064338094
173,01,Stockholm,0191,Sigtuna,0191TB125,Steninge,,409,0.008256454771181138,22,0.0006690719849796803
174,01,Stockholm,0191,Sigtuna,0191TB129,Venngarn,,415,0.008377576357066435,29,0.000890577142110731
175,01,Stockholm,0191,Sigtuna,0191TC102,Märsta,,29815,0.6018733471950259,675,0.020601117978604835
176,01,Stockholm,0192,Nynäshamn,0192TB101,Landfjärden,,280,0.009718510291208219,129,0.0036025149601059173
177,01,Stockholm,0192,Nynäshamn,0192TB102,Lidatorp och Klövsta,,402,0.013953004060948944,42,0.0011857515817847574
178,01,Stockholm,0192,Nynäshamn,0192TB104,Sorunda,,1319,0.04578112526465586,121,0.003393970397978136
179,01,Stockholm,0192,Nynäshamn,0192TB105,Segersäng,,765,0.026552358474193884,82,0.0023024864433441343
180,01,Stockholm,0192,Nynäshamn,0192TB106,Stora Vika,,748,0.02596230606365624,51,0.0014218390260980142
181,01,Stockholm,0192,Nynäshamn,0192TB107,Grödby,,579,0.02009649092360557,105,0.002948896227811706
182,01,Stockholm,0192,Nynäshamn,0192TB108,Oxnö och Svärdsö,,336,0.011662212349449863,394,0.011027759206590366
183,01,Stockholm,0192,Nynäshamn,0192TB109,Ösmo,,3981,0.13817639096178544,213,0.005966355818105037
184,01,Stockholm,0192,Nynäshamn,0192TC103,Nynäshamn,,15108,0.524383048141335,745,0.020859213670582986
185,03,Uppsala,0305,Håbo,0305TB102,Vibyäng,,484,0.02198101639493165,20,0.0014074198440736203
186,03,Uppsala,0305,Håbo,0305TB103,Häggeby och Vreta,,254,0.011535492075026113,68,0.004716532640946455
187,03,Uppsala,0305,Håbo,0305TB104,Krägga,,628,0.028520822925655116,127,0.008819712126268182
188,03,Uppsala,0305,Håbo,0305TB105,Råby,,971,0.04409827875925337,134,0.009327368068322813
189,03,Uppsala,0305,Håbo,0305TB106,Slottsskogen,,1746,0.07929515418502203,171,0.011883064271736308
190,03,Uppsala,0305,Håbo,0305TB108,Söderskogen,,381,0.01730323811253917,53,0.0037248026885492135
191,03,Uppsala,0305,Håbo,0305TB114,Kivinge,,202,0.009173895272264861,55,0.0038451367229544505
192,03,Uppsala,0305,Håbo,0305TC101,Bålsta,,15436,0.7010309278350515,1165,0.08114413820056973
193,03,Uppsala,0319,Älvkarleby,0319TB101,Gårdskär,,352,0.03700977815161392,120,0.005398591247972312
194,03,Uppsala,0319,Älvkarleby,0319TB102,Marma,,337,0.03543265692356219,53,0.0023805435872715835
195,03,Uppsala,0319,Älvkarleby,0319TB104,Älvkarleby,,1490,0.15666070865313847,262,0.011830231208289667
196,03,Uppsala,0319,Älvkarleby,0319TB105,Älvkarleö,,250,0.02628535380086216,73,0.003308933379912601
197,03,Uppsala,0319,Älvkarleby,0319TC103,Skutskär,1,6127,0.6442014509515298,739,0.03336172321624425
198,21,Gävleborg,2180,Gävle,0319TC103,Skutskär,1,372,0.0036150198243022624,62,0.00038425907872673864
199,03,Uppsala,0330,Knivsta,0330TB101,Alsike,,5057,0.26468125196273423,340,0.012059990743175573
200,03,Uppsala,0330,Knivsta,0330TB103,Edeby,,255,0.013346592693394745,59,0.002095646528230125
201,03,Uppsala,0330,Knivsta,0330TC102,Knivsta,,8593,0.449754003977808,433,0.015362997226496632
202,03,Uppsala,0331,Heby,0331TB101,Harbo,,816,0.057868236295298206,124,0.0010640650930448497
203,03,Uppsala,0331,Heby,0331TB103,Morgongåva,,1476,0.10467342741649528,176,0.0015103821418333534
204,03,Uppsala,0331,Heby,0331TB105,Tärnsjö,,1168,0.08283100489326999,176,0.0015115904886820318
205,03,Uppsala,0331,Heby,0331TB106,Vittinge,,601,0.04262109070278704,122,0.0010414921455312377
206,03,Uppsala,0331,Heby,0331TB107,Östervåla,,1818,0.12892702645202467,227,0.0019486863941430314
207,03,Uppsala,0331,Heby,0331TC102,Heby,,2833,0.20090773703992626,400,0.003427017350061081
208,03,Uppsala,0360,Tierp,0360TB101,Karlholmsbruk,,1263,0.05922070614713743,266,0.0017253977844783614
209,03,Uppsala,0360,Tierp,0360TB102,Mehedeby,,407,0.019083790500304777,64,0.000415486118979986
210,03,Uppsala,0360,Tierp,0360TB103,Månkarbo,,645,0.030243353495568996,102,0.000661585059985448
211,03,Uppsala,0360,Tierp,0360TB104,Skärplinge,,732,0.0343226895484597,109,0.0007105916012255856
212,03,Uppsala,0360,Tierp,0360TB105,Söderfors,,1750,0.08205561025929572,234,0.0015194560254441806
213,03,Uppsala,0360,Tierp,0360TB107,Tobo,,673,0.03155624325971773,101,0.0006573512896278794
214,03,Uppsala,0360,Tierp,0360TB108,Upplanda,,223,0.010456229193041684,77,0.0005001582793749474
215,03,Uppsala,0360,Tierp,0360TB109,Örbyhus,,2247,0.10535940357293572,202,0.0013086571188218688
216,03,Uppsala,0360,Tierp,0360TC106,Tierp,,6260,0.2935246401275379,461,0.0029927561617754824
217,03,Uppsala,0380,Uppsala,0380TB101,Almunge,,909,0.003887289973015622,156,0.0007141195404117023
218,03,Uppsala,0380,Uppsala,0380TB102,Björklinge,,3400,0.014539918490927518,307,0.001407096343841573
219,03,Uppsala,0380,Uppsala,0380TB103,Jälla,,2213,0.009463776358947823,136,0.0006222535692344674
220,03,Uppsala,0380,Uppsala,0380TB104,Vänge,,1292,0.005525169026552457,97,0.000444409883711739
221,03,Uppsala,0380,Uppsala,0380TB105,Bälinge,,2590,0.011075996732794786,190,0.0008704493225686528
222,03,Uppsala,0380,Uppsala,0380TB106,Bärby,,401,0.0017148550926064515,56,0.00025829835242908007
223,03,Uppsala,0380,Uppsala,0380TB107,Danmark,,441,0.0018859129572055986,55,0.00025387322431825326
224,03,Uppsala,0380,Uppsala,0380TB108,Funbo,,328,0.0014026744897130076,102,0.00046776587209413956
225,03,Uppsala,0380,Uppsala,0380TB109,Gunsta,,868,0.003711955661801496,98,0.00045031830266804016
226,03,Uppsala,0380,Uppsala,0380TB110,Gåvsta,,544,0.002326386958548403,55,0.00025129063945415265
227,03,Uppsala,0380,Uppsala,0380TB111,Håga,,296,0.0012658281980336898,32,0.00014488456885839807
228,03,Uppsala,0380,Uppsala,0380TB112,Järlåsa,,597,0.002553038629142273,80,0.0003673163346155681
229,03,Uppsala,0380,Uppsala,0380TB113,Knutby,,692,0.002959301057565248,127,0.0005804446545785871
230,03,Uppsala,0380,Uppsala,0380TB114,Läby,,227,0.0009707533816001608,35,0.0001590809956991897
231,03,Uppsala,0380,Uppsala,0380TB115,Länna,,670,0.002865219232035717,104,0.00047564742987670356
232,03,Uppsala,0380,Uppsala,0380TB116,Lövstalöt,,1445,0.006179465358644195,94,0.000432152686669541
233,03,Uppsala,0380,Uppsala,0380TB117,Selknä och Marielund,,307,0.0013128691107984554,131,0.0006002356127546883
234,03,Uppsala,0380,Uppsala,0380TB118,Ramstalund,,366,0.0015651794610821975,42,0.00019052932771182753
235,03,Uppsala,0380,Uppsala,0380TB119,Skyttorp,,641,0.002741202280201335,84,0.00038487067165581494
236,03,Uppsala,0380,Uppsala,0380TB120,Skölsta,,557,0.002381980764543126,57,0.00025969412132475974
237,03,Uppsala,0380,Uppsala,0380TB121,Storvreta,,6360,0.02719820047126442,318,0.0014573137808992006
238,03,Uppsala,0380,Uppsala,0380TB122,Sävja,,9814,0.04196904707940079,393,0.0018000194931086088
239,03,Uppsala,0380,Uppsala,0380TB123,Blackstalund,,230,0.0009835827214450968,68,0.0003096150835053338
240,03,Uppsala,0380,Uppsala,0380TB124,Ultuna,,2062,0.008818032920086042,132,0.000605358625313355
241,03,Uppsala,0380,Uppsala,0380TB126,Vattholma,,1392,0.005952813688050325,127,0.0005803896669661507
242,03,Uppsala,0380,Uppsala,0380TB127,Ytternäs och Vreta,,792,0.003386945719063116,153,0.0006994149363859767
243,03,Uppsala,0380,Uppsala,0380TB163,Vångelsta,,298,0.0012743810912636472,17,7.837750984656301e-05
244,03,Uppsala,0380,Uppsala,0380TB238,Sydöstra Fullerö,,933,0.00398992469177511,25,0.00011423447368629668
245,03,Uppsala,0380,Uppsala,0380TC125,Uppsala,,166698,0.7128750978237163,4323,0.019810249663464355
246,03,Uppsala,0381,Enköping,0381TB102,Fjärdhundra,,932,0.020155709342560554,111,0.0009449076042156163
247,03,Uppsala,0381,Enköping,0381TB103,Grillby,,1109,0.02398356401384083,119,0.0010101459303361272
