,Distriktskod,Distrikt,Antal områden,Forsamlingskod,Församling,Andel församling
301,101257.0,Fjärestad,,128316,Kvistofta,100
302,101258.0,Bårslöv,,128316,Kvistofta,99.9899999999999
303,101259.0,Ottarp,,128314,Landskrona,99.75
304,101260.0,Halmstad,,121405,Kågeröd-Röstånga,99.98
305,101261.0,Ekeby,,126004,Ekeby,99.9399999999999
306,101262.0,Svalöv,,121402,Svalöv,100
307,101263.0,Kågeröd,2.0,121402,Svalöv,8.13
308,,,,121405,Kågeröd-Röstånga,91.8599999999999
309,,,,121405,Kågeröd-Röstånga,99.7399999999999
310,101264.0,Konga,,121402,Svalöv,1.79
311,101264.0,Konga,,121405,Kågeröd-Röstånga,98.2
312,101265.0,Ask,,121405,Kågeröd-Röstånga,100
313,101266.0,Billinge,,128502,Östra Onsjö,99.9899999999999
314,101267.0,Röstånga,,121405,Kågeröd-Röstånga,99.9899999999999
315,101268.0,Munkarp,,126702,Höör,99.98
316,101269.0,Höör,,126702,Höör,99.9699999999999
317,101270.0,Hallaröd,,126702,Höör,100
318,101271.0,Häglinge,,129315,Sösdala,99.9899999999999
319,101272.0,Tjörnarp,,126702,Höör,99.9
320,101273.0,Äsphult,,129003,Äsphult,100
321,101274.0,Djurröd,,129005,Träne-Djurröd,100
322,101275.0,Träne,,129005,Träne-Djurröd,100
323,101276.0,Skepparslöv,,129007,Vä-Skepparslöv,100
324,101277.0,Vä,,129007,Vä-Skepparslöv,100
325,101278.0,Norra Åsum,,129002,Norra Åsum,100
326,101279.0,Rinkaby,,129025,Gustav Adolf-Rinkaby,100
327,101280.0,Gustav Adolf,,129025,Gustav Adolf-Rinkaby,100
328,101281.0,Nymö,,129024,Fjälkinge-Nymö,100
329,101282.0,Trolle-Ljungby,2.0,129023,Bäckaskog,100
330,,,,129023,Bäckaskog,100
331,101283.0,Helsingborgs Gustav Adolf,,128303,Raus,1.03
332,101283.0,Helsingborgs Gustav Adolf,,128302,Helsingborgs Gustav Adolf,98.9699999999999
333,101284.0,Helsingborgs Maria,,128302,Helsingborgs Gustav Adolf,2.43
334,101284.0,Helsingborgs Maria,,128301,Helsingborgs Maria,97.56
335,101285.0,Filborna,,128317,Filborna,100
336,101286.0,Välluv,,128309,Kropp,100
337,101287.0,Frillestad,,128309,Kropp,100
338,101288.0,Hässlunda,,128309,Kropp,99.87
339,101289.0,Kropp,,127701,Björnekulla-Västra Broby,1.04
340,101289.0,Kropp,,128309,Kropp,98.9599999999999
341,101290.0,Mörarp,3.0,128309,Kropp,99.95
342,,,,128309,Kropp,100
343,,,,128309,Kropp,100
344,101291.0,Risekatslösa,,126001,Bjuv,99.9099999999999
345,101292.0,Bjuv,,126001,Bjuv,99.7099999999999
346,101293.0,Norra Vram,2.0,126001,Bjuv,99.7199999999999
347,,,,126001,Bjuv,100
348,101294.0,Stenestad,,121405,Kågeröd-Röstånga,99.9899999999999
349,101295.0,Västra Sönnarslöv,,127601,Klippan,99.9599999999999
350,101296.0,Riseberga,,127605,Riseberga-Färingtofta,100
351,101297.0,Färingtofta,,127605,Riseberga-Färingtofta,100
352,101298.0,Norra Rörum,,126702,Höör,100
353,101299.0,Norra Mellby,,129315,Sösdala,100
354,101300.0,Matteröd,,129319,Tyringe,100
355,101301.0,Brönnestad,,129315,Sösdala,100
356,101302.0,Nävlinge,,129305,Vinslöv,100
357,101303.0,Önnestad,,129014,Araslöv,99.9899999999999
358,101304.0,Vinslöv,,129305,Vinslöv,100
359,101305.0,Norra Strö,,129014,Araslöv,100
360,101306.0,Kristianstads Heliga Trefaldighet,,129001,Kristianstads Heliga Trefaldighet,100
361,101307.0,Färlöv,,129014,Araslöv,100
362,101308.0,Fjälkestad,,129009,Nosaby,99.9899999999999
363,101309.0,Nosaby,,129009,Nosaby,100
364,101310.0,Fjälkinge,,129024,Fjälkinge-Nymö,100
365,101311.0,Österslöv,,129009,Nosaby,100
366,101312.0,Kiaby,2.0,129023,Bäckaskog,100
367,,,,129023,Bäckaskog,100
368,101313.0,Gualöv,,127201,Ivetofta-Gualöv,99.81
369,101314.0,Ivetofta,,129023,Bäckaskog,0.95
370,101314.0,Ivetofta,,127201,Ivetofta-Gualöv,99.0499999999999
371,101315.0,Ivö,,129023,Bäckaskog,100
372,101316.0,Allerum,,128301,Helsingborgs Maria,1.5
373,101316.0,Allerum,,128306,Allerum,98.4699999999999
374,101317.0,Kattarp,,128305,Välinge-Kattarp,99.98
375,101318.0,Viken,,128403,Viken,99.65
376,101319.0,Fleninge,,128307,Fleninge,99.98
377,101320.0,Västra Broby,,127701,Björnekulla-Västra Broby,99.78
378,101321.0,Strövelstorp,,129206,Strövelstorp,99.89
379,101322.0,Björnekulla,,127701,Björnekulla-Västra Broby,99.98
380,101323.0,Kvidinge,,127703,Kvidinge,99.9899999999999
381,101324.0,Klippan,,127601,Klippan,99.9899999999999
382,101325.0,Östra Ljungby,,127607,Östra Ljungby,99.8799999999999
383,101326.0,Vedby,,127601,Klippan,100
384,101327.0,Perstorp,,127501,Perstorp,99.9899999999999
385,101328.0,Västra Torup,,129322,Västra Torup,100
386,101329.0,Finja,,129319,Tyringe,100
387,101330.0,Hässleholm,,129301,Hässleholm,100
388,101331.0,Ignaberga,,129301,Hässleholm,100
389,101332.0,Stoby,,129301,Hässleholm,100
390,101333.0,Sörby,,129305,Vinslöv,100
391,101334.0,Gumlösa,,129305,Vinslöv,100
392,101335.0,Gryt,,125601,Knislinge-Gryt,99.9899999999999
393,101336.0,Kviinge,,125603,Kviinge,99.9899999999999
394,101337.0,Knislinge,,125601,Knislinge-Gryt,100
395,101338.0,Oppmanna,,129035,Oppmanna,100
396,101339.0,Näsum,,127203,Näsum,99.9599999999999
397,101340.0,Höganäs,,128402,Väsby,7.15
398,101340.0,Höganäs,,128401,Höganäs,92.8599999999999
399,101341.0,Brunnby,,128404,Brunnby,99.9899999999999
400,101342.0,Väsby,,128402,Väsby,99.95
401,101343.0,Jonstorp,2.0,128405,Farhult-Jonstorp,99.9399999999999
402,,,,128405,Farhult-Jonstorp,99.9899999999999
403,101344.0,Farhult,,128305,Välinge-Kattarp,0.74
404,101344.0,Farhult,,128405,Farhult-Jonstorp,99.26
405,101345.0,Välinge,,128305,Välinge-Kattarp,99.84
406,101346.0,Ängelholm,,129201,Ängelholm,99.8299999999999
407,101347.0,Rebbelberga,,129211,Hjärnarp-Tåstarp,1.46
408,101347.0,Rebbelberga,,129201,Ängelholm,98.3499999999999
409,101348.0,Höja,,129201,Ängelholm,99.98
410,101349.0,Össjö,,129205,Munka Ljungby,99.9899999999999
411,101350.0,Tåstarp,,129211,Hjärnarp-Tåstarp,99.9099999999999
412,101351.0,Munka Ljungby,,129205,Munka Ljungby,99.92
413,101352.0,Rya,,125702,Rya,99.9899999999999
414,101353.0,Röke,,129321,Röke,100
415,101354.0,Hörja,,129319,Tyringe,100
416,101355.0,Vankiva,,129314,Vankiva,100
417,101356.0,Farstorp,,129310,Farstorp,100
418,101357.0,Norra Sandby,,129301,Hässleholm,100
419,101358.0,Hästveda,,129301,Hässleholm,100
420,101359.0,Emmislöv,,125606,Broby-Emmislöv,100
421,101360.0,Östra Broby,,125606,Broby-Emmislöv,100
422,101361.0,Hjärsås,,125601,Knislinge-Gryt,0.96
423,101361.0,Hjärsås,,125604,Hjärsås,99.04
424,101362.0,Vånga,,129034,Vånga,100
425,101363.0,Barkåkra,,129201,Ängelholm,0.5
426,101363.0,Barkåkra,,129209,Barkåkra,99.3299999999999
427,101364.0,Förslöv,,127802,Förslöv-Grevie,100
428,101365.0,Hjärnarp,,129211,Hjärnarp-Tåstarp,99.9599999999999
429,101366.0,Tåssjö,,129205,Munka Ljungby,99.9899999999999
430,101367.0,Örkelljunga,,125701,Örkelljunga,99.9899999999999
431,101368.0,Skånes Fagerhult,,125703,Skånes-Fagerhult,99.9899999999999
432,101369.0,Norra Åkarp,,129313,Norra Åkarp,100
433,101370.0,Vittsjö,,129312,Vittsjö,99.9899999999999
434,101371.0,Verum,,129311,Verum,100
435,101372.0,Glimåkra,,125607,Glimåkra,100
436,101373.0,Västra Karup,,127804,Västra Karup-Hov,100
437,101374.0,Torekov,,127804,Västra Karup-Hov,8.14
438,101374.0,Torekov,,127806,Torekov,91.8599999999999
439,101375.0,Hov,,127804,Västra Karup-Hov,100
440,101376.0,Grevie,,127802,Förslöv-Grevie,99.9099999999999
441,101377.0,Båstad,,127801,Båstad-Östra Karup,99.9699999999999
442,101378.0,Visseltofta,,127301,Osby-Visseltofta,100
443,101379.0,Osby,,127301,Osby-Visseltofta,100
444,101380.0,Loshult,,127303,Loshult,99.9899999999999
445,101381.0,Örkened,,127302,Örkened,99.9599999999999
446,102001.0,Sölvesborg,,108301,Sölvesborg,99.9899999999999
447,102002.0,Ysane,,108301,Sölvesborg,22.39
448,102002.0,Ysane,,108304,Mjällby,77.5999999999999
449,102003.0,Mjällby,,108304,Mjällby,100
450,102004.0,Hasslö,,108018,Nättraby-Hasslö,100
451,102005.0,Aspö,,108001,Karlskrona stadsförsamling,3.3
452,102005.0,Aspö,,108004,Aspö,96.68
453,102006.0,Sturkö,,108001,Karlskrona stadsförsamling,2.95
454,102006.0,Sturkö,,108011,Sturkö,97.03
455,102007.0,Torhamn,,108010,Torhamn,100
456,102008.0,Gammalstorp,,108301,Sölvesborg,99.9899999999999
457,102009.0,Elleholm,,108206,Mörrum-Elleholm,100
458,102010.0,Mörrum,,108206,Mörrum-Elleholm,99.9899999999999
459,102011.0,Karlshamn,,108201,Karlshamn,99.9399999999999
460,102012.0,Listerby,,108101,Ronneby,100
461,102013.0,Förkärla,,108101,Ronneby,100
462,102014.0,Nättraby,,108018,Nättraby-Hasslö,99.9899999999999
463,102015.0,Karlskrona stadsdistrikt,,108006,Lyckå,0.93
464,102015.0,Karlskrona stadsdistrikt,,108001,Karlskrona stadsförsamling,99.0699999999999
